timestamp client type operation execTime success
1578164914 3 writer write 11 true
1578164915 4 read_write read 5 true
1578164915 4 read_write write 17 true
1578164915 2 reader read 5 true
1578164915 1 reader read 7 true
1578164915 3 writer write 12 true
1578164916 4 read_write read 6 true
1578164916 4 read_write write 18 true
1578164916 1 reader read 6 true
1578164916 2 reader read 8 true
1578164916 3 writer write 12 true
1578164917 4 read_write read 5 true
1578164917 4 read_write write 14 true
1578164917 2 reader read 7 true
1578164917 1 reader read 9 true
1578164917 3 writer write 12 true
1578164918 4 read_write read 6 true
1578164918 4 read_write write 17 true
1578164918 1 reader read 5 true
1578164918 2 reader read 6 true
1578164918 3 writer write 12 true
1578164919 4 read_write read 6 true
1578164919 4 read_write write 16 true
1578164919 2 reader read 5 true
1578164919 1 reader read 6 true
1578164919 3 writer write 13 true
1578164920 4 read_write read 6 true
1578164920 4 read_write write 16 true
1578164920 2 reader read 5 true
1578164920 1 reader read 7 true
1578164920 3 writer write 12 true
1578164921 4 read_write read 6 true
1578164921 4 read_write write 16 true
1578164921 1 reader read 6 true
1578164921 2 reader read 8 true
1578164921 3 writer write 11 true
1578164922 4 read_write read 6 true
1578164922 4 read_write write 16 true
1578164922 2 reader read 5 true
1578164922 1 reader read 6 true
1578164922 3 writer write 12 true
1578164923 4 read_write read 7 true
1578164923 4 read_write write 15 true
1578164923 2 reader read 5 true
1578164923 1 reader read 13 true
1578164923 3 writer write 13 true
1578164924 4 read_write read 5 true
1578164924 4 read_write write 16 true
1578164924 2 reader read 4 true
1578164924 1 reader read 10 true
1578164924 3 writer write 12 true
1578164925 4 read_write read 6 true
1578164925 2 reader read 7 true
1578164925 1 reader read 4 true
1578164925 4 read_write write 15 true
1578164925 3 writer write 12 true
1578164926 2 reader read 5 true
1578164926 1 reader read 4 true
1578164926 4 read_write read 10 true
1578164926 4 read_write write 12 true
1578164926 3 writer write 12 true
1578164927 2 reader read 5 true
1578164927 1 reader read 9 true
1578164927 4 read_write read 6 true
1578164927 4 read_write write 17 true
1578164927 3 writer write 12 true
1578164928 2 reader read 6 true
1578164928 1 reader read 10 true
1578164928 4 read_write read 6 true
